VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-01-01 07:37:05,2016-01-01 07:53:26,2,9.53,-73.78941345214844,40.646968841552734,1,N,-73.83033752441406,40.760154724121094,2,27.5,0.0,0.5,0.0,0.0,0.3,28.3
2,2016-01-01 07:37:12,2016-01-01 07:54:44,1,6.29,-73.96571350097656,40.75432968139648,1,N,-73.9661865234375,40.70486831665039,2,20.5,0.0,0.5,0.0,0.0,0.3,21.3
2,2016-01-01 07:37:14,2016-01-01 07:53:06,1,4.87,-74.00694274902342,40.73291015625,1,N,-73.9588623046875,40.72296142578125,1,17.5,0.0,0.5,4.58,0.0,0.3,22.88
1,2016-01-01 07:37:14,2016-01-01 07:51:43,1,4.3,-74.00747680664062,40.74348449707031,1,N,-73.96023559570312,40.79812622070313,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3
1,2016-01-01 07:37:22,2016-01-01 07:54:44,1,5.0,-73.9897232055664,40.7188835144043,1,N,-73.99221801757811,40.76904296875,1,18.0,0.0,0.5,4.7,0.0,0.3,23.5
2,2016-01-01 07:37:26,2016-01-01 07:50:31,1,3.21,-73.95735931396483,40.8119010925293,1,N,-73.98748016357422,40.77521133422852,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8
1,2016-01-01 07:37:27,2016-01-01 07:51:46,2,2.6,-73.95410919189453,40.76411056518555,1,N,-73.99011993408203,40.757022857666016,1,12.0,0.0,0.5,1.0,0.0,0.3,13.8
1,2016-01-01 07:37:34,2016-01-01 07:52:20,1,4.2,-73.98497772216798,40.724159240722656,1,N,-73.96370697021484,40.77419662475585,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
1,2016-01-01 07:37:36,2016-01-01 07:50:32,1,6.4,-73.95608520507811,40.76786422729492,1,N,-73.93206024169923,40.8515625,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3
2,2016-01-01 07:37:40,2016-01-01 07:52:59,1,10.49,-74.0069808959961,40.71609115600585,1,N,-73.87238311767578,40.77455139160156,1,29.5,0.0,0.5,6.06,0.0,0.3,36.36
1,2016-01-01 07:37:41,2016-01-01 07:53:10,1,7.5,-73.95098876953125,40.785804748535156,1,N,-73.88648223876955,40.74451446533203,1,23.5,0.0,0.5,5.0,5.54,0.3,34.84
2,2016-01-01 07:37:45,2016-01-01 07:50:35,1,3.25,-73.98465728759766,40.76472854614258,1,N,-73.95402526855469,40.80114364624024,1,13.0,0.0,0.5,4.14,0.0,0.3,17.94
